Community Name,Crime Category,Number of Records,Year,Incidents
WALDEN,Social Disorder,1,2012,51
MAYLAND,Social Disorder,1,2012,54
CHRISTIE PARK,Social Disorder,1,2012,48
HAMPTONS,Social Disorder,1,2012,80
NORTH AIRWAYS,Social Disorder,1,2012,53
SAGE HILL,Social Disorder,1,2012,55
MCCALL,Social Disorder,1,2012,65
CFB - LINCOLN PARK PMQ,Social Disorder,1,2012,59
SKYLINE WEST,Social Disorder,1,2012,55
PATTERSON,Social Disorder,1,2012,89
SHERWOOD,Social Disorder,1,2012,59
EAGLE RIDGE,Social Disorder,1,2012,79
CAMBRIAN HEIGHTS,Social Disorder,1,2012,73
KELVIN GROVE,Social Disorder,1,2012,80
GLENMORE PARK,Social Disorder,1,2012,69
HIGHFIELD,Social Disorder,1,2012,87
BURNS INDUSTRIAL,Social Disorder,1,2012,88
KINCORA,Social Disorder,1,2012,76
PALLISER,Social Disorder,1,2012,135
PARKDALE,Social Disorder,1,2012,122
ELBOYA,Social Disorder,1,2012,93
PARKLAND,Social Disorder,1,2012,96
RUTLAND PARK,Social Disorder,1,2012,79
CHARLESWOOD,Social Disorder,1,2012,127
COUNTRY HILLS,Social Disorder,1,2012,94
NORTH GLENMORE PARK,Social Disorder,1,2012,105
HIGHWOOD,Social Disorder,1,2012,95
WESTGATE,Social Disorder,1,2012,83
UPPER MOUNT ROYAL,Social Disorder,1,2012,133
MACEWAN GLEN,Social Disorder,1,2012,123
COLLINGWOOD,Social Disorder,1,2012,145
FAIRVIEW INDUSTRIAL,Social Disorder,1,2012,141
NORTH HAVEN,Social Disorder,1,2012,74
ALYTH/BONNYBROOK,Social Disorder,1,2012,131
EAST SHEPARD INDUSTRIAL,Social Disorder,1,2012,112
GREENVIEW INDUSTRIAL PARK,Social Disorder,1,2012,83
VALLEYFIELD,Social Disorder,1,2012,87
VALLEY RIDGE,Social Disorder,1,2012,80
EAST FAIRVIEW INDUSTRIAL,Social Disorder,1,2012,122
MAPLE RIDGE,Social Disorder,1,2012,96
CALGARY INTERNATIONAL AIRPORT,Social Disorder,1,2012,99
ELBOW PARK,Social Disorder,1,2012,121
LINCOLN PARK,Social Disorder,1,2012,129
WILDWOOD,Social Disorder,1,2012,105
CHINATOWN,Social Disorder,1,2012,97
DEER RUN,Social Disorder,1,2012,164
SANDSTONE VALLEY,Social Disorder,1,2012,129
ASPEN WOODS,Social Disorder,1,2012,89
MANCHESTER,Social Disorder,1,2012,152
SILVERADO,Social Disorder,1,2012,146
SOUTH AIRWAYS,Social Disorder,1,2012,101
RED CARPET,Social Disorder,1,2012,119
UNIVERSITY HEIGHTS,Social Disorder,1,2012,126
STRATHCONA PARK,Social Disorder,1,2012,105
SHEPARD INDUSTRIAL,Social Disorder,1,2012,94
DISCOVERY RIDGE,Social Disorder,1,2012,116
COUGAR RIDGE,Social Disorder,1,2012,86
LAKEVIEW,Social Disorder,1,2012,143
SKYVIEW RANCH,Social Disorder,1,2012,99
WEST SPRINGS,Social Disorder,1,2012,125
UNIVERSITY OF CALGARY,Social Disorder,1,2012,149
ROYAL OAK,Social Disorder,1,2012,188
ERLTON,Social Disorder,1,2012,119
SHAGANAPPI,Social Disorder,1,2012,110
OAKRIDGE,Social Disorder,1,2012,174
ROCKY RIDGE,Social Disorder,1,2012,130
SPRINGBANK HILL,Social Disorder,1,2012,165
CORAL SPRINGS,Social Disorder,1,2012,158
GREENVIEW,Social Disorder,1,2012,163
COUNTRY HILLS VILLAGE,Social Disorder,1,2012,187
MERIDIAN,Social Disorder,1,2012,101
ST. ANDREWS HEIGHTS,Social Disorder,1,2012,168
PARKHILL,Social Disorder,1,2012,142
HAWKWOOD,Social Disorder,1,2012,212
SPRUCE CLIFF,Social Disorder,1,2012,230
GLENDALE,Social Disorder,1,2012,162
HARVEST HILLS,Social Disorder,1,2012,211
AUBURN BAY,Social Disorder,1,2012,193
CITADEL,Social Disorder,1,2012,176
QUEENSLAND,Social Disorder,1,2012,198
SCENIC ACRES,Social Disorder,1,2012,153
RAMSAY,Social Disorder,1,2012,154
MILLRISE,Social Disorder,1,2012,221
SILVER SPRINGS,Social Disorder,1,2012,257
FAIRVIEW,Social Disorder,1,2012,224
MEADOWLARK PARK,Social Disorder,1,2012,216
FOOTHILLS,Social Disorder,1,2012,192
SOMERSET,Social Disorder,1,2012,240
EVANSTON,Social Disorder,1,2012,189
WOODBINE,Social Disorder,1,2012,267
DEER RIDGE,Social Disorder,1,2012,216
RIVERBEND,Social Disorder,1,2012,302
SUNDANCE,Social Disorder,1,2012,246
HIDDEN VALLEY,Social Disorder,1,2012,229
EDGEMONT,Social Disorder,1,2012,273
RICHMOND,Social Disorder,1,2012,295
GLAMORGAN,Social Disorder,1,2012,333
WOODLANDS,Social Disorder,1,2012,328
DOUGLASDALE/GLEN,Social Disorder,1,2012,322
NEW BRIGHTON,Social Disorder,1,2012,218
HORIZON,Social Disorder,1,2012,176
APPLEWOOD PARK,Social Disorder,1,2012,303
CANYON MEADOWS,Social Disorder,1,2012,307
COPPERFIELD,Social Disorder,1,2012,234
FOREST LAWN INDUSTRIAL,Social Disorder,1,2012,281
VISTA HEIGHTS,Social Disorder,1,2012,342
WINSTON HEIGHTS/MOUNTVIEW,Social Disorder,1,2012,306
CHAPARRAL,Social Disorder,1,2012,226
CEDARBRAE,Social Disorder,1,2012,308
TUSCANY,Social Disorder,1,2012,313
EAU CLAIRE,Social Disorder,1,2012,196
EVERGREEN,Social Disorder,1,2012,383
SOUTH CALGARY,Social Disorder,1,2012,348
RANCHLANDS,Social Disorder,1,2012,319
BRAESIDE,Social Disorder,1,2012,340
WEST HILLHURST,Social Disorder,1,2012,361
BRIDLEWOOD,Social Disorder,1,2012,301
CRANSTON,Social Disorder,1,2012,289
LAKE BONAVISTA,Social Disorder,1,2012,388
WINDSOR PARK,Social Disorder,1,2012,300
RENFREW,Social Disorder,1,2012,383
MONTEREY PARK,Social Disorder,1,2012,401
GLENBROOK,Social Disorder,1,2012,375
ALTADORE,Social Disorder,1,2012,290
MCKENZIE LAKE,Social Disorder,1,2012,390
HOUNSFIELD HEIGHTS/BRIAR HILL,Social Disorder,1,2012,286
HIGHLAND PARK,Social Disorder,1,2012,385
DALHOUSIE,Social Disorder,1,2012,322
MAYLAND HEIGHTS,Social Disorder,1,2012,386
SIGNAL HILL,Social Disorder,1,2012,372
WILLOW PARK,Social Disorder,1,2012,389
INGLEWOOD,Social Disorder,1,2012,337
MOUNT PLEASANT,Social Disorder,1,2012,399
SUNNYSIDE,Social Disorder,1,2012,345
CASTLERIDGE,Social Disorder,1,2012,441
KINGSLAND,Social Disorder,1,2012,482
ERIN WOODS,Social Disorder,1,2012,444
BRENTWOOD,Social Disorder,1,2012,353
ABBEYDALE,Social Disorder,1,2012,360
COVENTRY HILLS,Social Disorder,1,2012,470
PANORAMA HILLS,Social Disorder,1,2012,446
WESTWINDS,Social Disorder,1,2012,444
TUXEDO PARK,Social Disorder,1,2012,424
BANFF TRAIL,Social Disorder,1,2012,448
MIDNAPORE,Social Disorder,1,2012,449
KILLARNEY/GLENGARRY,Social Disorder,1,2012,401
SADDLE RIDGE,Social Disorder,1,2012,463
VARSITY,Social Disorder,1,2012,419
CAPITOL HILL,Social Disorder,1,2012,440
SOUTHVIEW,Social Disorder,1,2012,451
BEDDINGTON HEIGHTS,Social Disorder,1,2012,559
CLIFF BUNGALOW,Social Disorder,1,2012,524
ROSSCARROCK,Social Disorder,1,2012,439
FRANKLIN,Social Disorder,1,2012,368
THORNCLIFFE,Social Disorder,1,2012,522
MISSION,Social Disorder,1,2012,599
SOUTHWOOD,Social Disorder,1,2012,593
TARADALE,Social Disorder,1,2012,641
LOWER MOUNT ROYAL,Social Disorder,1,2012,541
BANKVIEW,Social Disorder,1,2012,631
MONTGOMERY,Social Disorder,1,2012,572
FOREST HEIGHTS,Social Disorder,1,2012,555
MANCHESTER INDUSTRIAL,Social Disorder,1,2012,597
MCKENZIE TOWNE,Social Disorder,1,2012,648
MARLBOROUGH PARK,Social Disorder,1,2012,685
SUNRIDGE,Social Disorder,1,2012,594
MARTINDALE,Social Disorder,1,2012,652
CRESCENT HEIGHTS,Social Disorder,1,2012,700
ARBOUR LAKE,Social Disorder,1,2012,577
HAYSBORO,Social Disorder,1,2012,620
OGDEN,Social Disorder,1,2012,607
DOWNTOWN WEST END,Social Disorder,1,2012,467
HUNTINGTON HILLS,Social Disorder,1,2012,856
TEMPLE,Social Disorder,1,2012,740
WHITEHORN,Social Disorder,1,2012,799
RUNDLE,Social Disorder,1,2012,816
SUNALTA,Social Disorder,1,2012,702
ACADIA,Social Disorder,1,2012,977
BRIDGELAND/RIVERSIDE,Social Disorder,1,2012,709
PINERIDGE,Social Disorder,1,2012,853
HILLHURST,Social Disorder,1,2012,578
PENBROOKE MEADOWS,Social Disorder,1,2012,768
SHAWNESSY,Social Disorder,1,2012,828
ALBERT PARK/RADISSON HEIGHTS,Social Disorder,1,2012,902
FALCONRIDGE,Social Disorder,1,2012,1013
DOVER,Social Disorder,1,2012,1057
MARLBOROUGH,Social Disorder,1,2012,1095
BOWNESS,Social Disorder,1,2012,1339
DOWNTOWN EAST VILLAGE,Social Disorder,1,2012,982
FOREST LAWN,Social Disorder,1,2012,1957
DOWNTOWN COMMERCIAL CORE,Social Disorder,1,2012,4325
BELTLINE,Social Disorder,1,2012,5621
AURORA BUSINESS PARK,Theft FROM Vehicle,1,2012,0
CARRINGTON,Theft FROM Vehicle,1,2012,0
CITYSCAPE,Theft FROM Vehicle,1,2012,0
EAGLE RIDGE,Theft FROM Vehicle,1,2012,12
LEGACY,Theft FROM Vehicle,1,2012,0
RIDEAU PARK,Theft FROM Vehicle,1,2012,4
ROYAL VISTA,Theft FROM Vehicle,1,2012,0
SECTION 23,Theft FROM Vehicle,1,2012,3
SHERWOOD,Theft FROM Vehicle,1,2012,0
SKYLINE WEST,Theft FROM Vehicle,1,2012,0
STONEGATE LANDING,Theft FROM Vehicle,1,2012,0
STONEY 1,Theft FROM Vehicle,1,2012,0
STONEY 3,Theft FROM Vehicle,1,2012,0
BAYVIEW,Theft FROM Vehicle,1,2012,1
BEL-AIRE,Theft FROM Vehicle,1,2012,1
LIVINGSTON,Theft FROM Vehicle,1,2012,0
MAYFAIR,Theft FROM Vehicle,1,2012,4
NOSE HILL PARK,Theft FROM Vehicle,1,2012,2
QUEENS PARK VILLAGE,Theft FROM Vehicle,1,2012,1
SETON,Theft FROM Vehicle,1,2012,0
STONEY 4,Theft FROM Vehicle,1,2012,1
CFB - LINCOLN PARK PMQ,Theft FROM Vehicle,1,2012,0
CRESTMONT,Theft FROM Vehicle,1,2012,11
GLENDEER BUSINESS PARK,Theft FROM Vehicle,1,2012,1
POINT MCKAY,Theft FROM Vehicle,1,2012,2
ROXBORO,Theft FROM Vehicle,1,2012,2
BONAVISTA DOWNS,Theft FROM Vehicle,1,2012,7
BRITANNIA,Theft FROM Vehicle,1,2012,5
GREAT PLAINS,Theft FROM Vehicle,1,2012,1
NORTH HAVEN UPPER,Theft FROM Vehicle,1,2012,10
REDSTONE,Theft FROM Vehicle,1,2012,2
SKYLINE EAST,Theft FROM Vehicle,1,2012,7
UPPER MOUNT ROYAL,Theft FROM Vehicle,1,2012,11
CHRISTIE PARK,Theft FROM Vehicle,1,2012,9
DIAMOND COVE,Theft FROM Vehicle,1,2012,14
GLENMORE PARK,Theft FROM Vehicle,1,2012,8
MAYLAND,Theft FROM Vehicle,1,2012,9
RED CARPET,Theft FROM Vehicle,1,2012,8
ROSEDALE,Theft FROM Vehicle,1,2012,9
SCARBORO,Theft FROM Vehicle,1,2012,4
SCARBORO/ SUNALTA WEST,Theft FROM Vehicle,1,2012,0
GREENVIEW INDUSTRIAL PARK,Theft FROM Vehicle,1,2012,14
GREENWOOD/GREENBRIAR,Theft FROM Vehicle,1,2012,4
OGDEN SHOPS,Theft FROM Vehicle,1,2012,3
PEGASUS,Theft FROM Vehicle,1,2012,9
STARFIELD,Theft FROM Vehicle,1,2012,3
WALDEN,Theft FROM Vehicle,1,2012,4
CHINOOK PARK,Theft FROM Vehicle,1,2012,4
COACH HILL,Theft FROM Vehicle,1,2012,15
FISH CREEK PARK,Theft FROM Vehicle,1,2012,12
PUMP HILL,Theft FROM Vehicle,1,2012,2
ASPEN WOODS,Theft FROM Vehicle,1,2012,21
BURNS INDUSTRIAL,Theft FROM Vehicle,1,2012,11
KELVIN GROVE,Theft FROM Vehicle,1,2012,9
SOUTH FOOTHILLS,Theft FROM Vehicle,1,2012,3
GOLDEN TRIANGLE,Theft FROM Vehicle,1,2012,2
SPRUCE CLIFF,Theft FROM Vehicle,1,2012,14
STONEY 2,Theft FROM Vehicle,1,2012,9
WESTGATE,Theft FROM Vehicle,1,2012,9
CORAL SPRINGS,Theft FROM Vehicle,1,2012,20
EAU CLAIRE,Theft FROM Vehicle,1,2012,43
ELBOYA,Theft FROM Vehicle,1,2012,17
OAKRIDGE,Theft FROM Vehicle,1,2012,22
PATTERSON,Theft FROM Vehicle,1,2012,8
QUEENSLAND,Theft FROM Vehicle,1,2012,22
SHAGANAPPI,Theft FROM Vehicle,1,2012,8
CFB - CURRIE,Theft FROM Vehicle,1,2012,3
MAHOGANY,Theft FROM Vehicle,1,2012,6
RUTLAND PARK,Theft FROM Vehicle,1,2012,2
ALYTH/BONNYBROOK,Theft FROM Vehicle,1,2012,7
ERLTON,Theft FROM Vehicle,1,2012,11
FAIRVIEW INDUSTRIAL,Theft FROM Vehicle,1,2012,14
GREENVIEW,Theft FROM Vehicle,1,2012,7
MANCHESTER,Theft FROM Vehicle,1,2012,14
PARKDALE,Theft FROM Vehicle,1,2012,17
SAGE HILL,Theft FROM Vehicle,1,2012,6
COUNTRY HILLS VILLAGE,Theft FROM Vehicle,1,2012,11
MACEWAN GLEN,Theft FROM Vehicle,1,2012,29
NORTH HAVEN,Theft FROM Vehicle,1,2012,22
ROSEMONT,Theft FROM Vehicle,1,2012,6
SILVERADO,Theft FROM Vehicle,1,2012,21
VALLEYFIELD,Theft FROM Vehicle,1,2012,15
CANADA OLYMPIC PARK,Theft FROM Vehicle,1,2012,9
COUNTRY HILLS,Theft FROM Vehicle,1,2012,24
DISCOVERY RIDGE,Theft FROM Vehicle,1,2012,21
LAKEVIEW,Theft FROM Vehicle,1,2012,23
NOLAN HILL,Theft FROM Vehicle,1,2012,14
RAMSAY,Theft FROM Vehicle,1,2012,24
VALLEY RIDGE,Theft FROM Vehicle,1,2012,22
WEST SPRINGS,Theft FROM Vehicle,1,2012,14
DEER RUN,Theft FROM Vehicle,1,2012,20
EASTFIELD,Theft FROM Vehicle,1,2012,7
FAIRVIEW,Theft FROM Vehicle,1,2012,23
HAMPTONS,Theft FROM Vehicle,1,2012,24
SADDLE RIDGE INDUSTRIAL,Theft FROM Vehicle,1,2012,22
SHAWNEE SLOPES,Theft FROM Vehicle,1,2012,7
WESTWINDS,Theft FROM Vehicle,1,2012,12
CAMBRIAN HEIGHTS,Theft FROM Vehicle,1,2012,17
DEERFOOT BUSINESS CENTRE,Theft FROM Vehicle,1,2012,28
DOWNTOWN WEST END,Theft FROM Vehicle,1,2012,12
EAST SHEPARD INDUSTRIAL,Theft FROM Vehicle,1,2012,23
CALGARY INTERNATIONAL AIRPORT,Theft FROM Vehicle,1,2012,29
GLENDALE,Theft FROM Vehicle,1,2012,21
UNIVERSITY HEIGHTS,Theft FROM Vehicle,1,2012,3
CLIFF BUNGALOW,Theft FROM Vehicle,1,2012,25
HIGHFIELD,Theft FROM Vehicle,1,2012,20
KINCORA,Theft FROM Vehicle,1,2012,22
SADDLE RIDGE,Theft FROM Vehicle,1,2012,29
SHEPARD INDUSTRIAL,Theft FROM Vehicle,1,2012,32
ST. ANDREWS HEIGHTS,Theft FROM Vehicle,1,2012,10
WINDSOR PARK,Theft FROM Vehicle,1,2012,44
COUGAR RIDGE,Theft FROM Vehicle,1,2012,10
MERIDIAN,Theft FROM Vehicle,1,2012,30
MILLRISE,Theft FROM Vehicle,1,2012,26
FOREST LAWN INDUSTRIAL,Theft FROM Vehicle,1,2012,25
KINGSLAND,Theft FROM Vehicle,1,2012,23
COLLINGWOOD,Theft FROM Vehicle,1,2012,17
LINCOLN PARK,Theft FROM Vehicle,1,2012,19
MAPLE RIDGE,Theft FROM Vehicle,1,2012,13
SANDSTONE VALLEY,Theft FROM Vehicle,1,2012,20
WOODLANDS,Theft FROM Vehicle,1,2012,18
BRAESIDE,Theft FROM Vehicle,1,2012,18
CITADEL,Theft FROM Vehicle,1,2012,36
NORTH AIRWAYS,Theft FROM Vehicle,1,2012,41
SOUTHVIEW,Theft FROM Vehicle,1,2012,25
BRIDLEWOOD,Theft FROM Vehicle,1,2012,35
HIGHWOOD,Theft FROM Vehicle,1,2012,15
PARKHILL,Theft FROM Vehicle,1,2012,13
SUNALTA,Theft FROM Vehicle,1,2012,49
AUBURN BAY,Theft FROM Vehicle,1,2012,27
ROYAL OAK,Theft FROM Vehicle,1,2012,32
SKYVIEW RANCH,Theft FROM Vehicle,1,2012,8
CEDARBRAE,Theft FROM Vehicle,1,2012,14
MCCALL,Theft FROM Vehicle,1,2012,20
PARKLAND,Theft FROM Vehicle,1,2012,11
RIVERBEND,Theft FROM Vehicle,1,2012,42
SUNNYSIDE,Theft FROM Vehicle,1,2012,27
WILDWOOD,Theft FROM Vehicle,1,2012,33
INGLEWOOD,Theft FROM Vehicle,1,2012,28
CHINATOWN,Theft FROM Vehicle,1,2012,30
EVANSTON,Theft FROM Vehicle,1,2012,32
HOUNSFIELD HEIGHTS/BRIAR HILL,Theft FROM Vehicle,1,2012,27
SILVER SPRINGS,Theft FROM Vehicle,1,2012,48
SOMERSET,Theft FROM Vehicle,1,2012,56
SOUTH AIRWAYS,Theft FROM Vehicle,1,2012,30
DEER RIDGE,Theft FROM Vehicle,1,2012,11
HAYSBORO,Theft FROM Vehicle,1,2012,45
MIDNAPORE,Theft FROM Vehicle,1,2012,43
ELBOW PARK,Theft FROM Vehicle,1,2012,17
STRATHCONA PARK,Theft FROM Vehicle,1,2012,16
APPLEWOOD PARK,Theft FROM Vehicle,1,2012,26
CASTLERIDGE,Theft FROM Vehicle,1,2012,84
COPPERFIELD,Theft FROM Vehicle,1,2012,15
EAST FAIRVIEW INDUSTRIAL,Theft FROM Vehicle,1,2012,25
HORIZON,Theft FROM Vehicle,1,2012,30
MEADOWLARK PARK,Theft FROM Vehicle,1,2012,41
PANORAMA HILLS,Theft FROM Vehicle,1,2012,82
DOWNTOWN EAST VILLAGE,Theft FROM Vehicle,1,2012,32
GLAMORGAN,Theft FROM Vehicle,1,2012,41
LOWER MOUNT ROYAL,Theft FROM Vehicle,1,2012,38
ROCKY RIDGE,Theft FROM Vehicle,1,2012,12
ROSSCARROCK,Theft FROM Vehicle,1,2012,22
VISTA HEIGHTS,Theft FROM Vehicle,1,2012,35
WOODBINE,Theft FROM Vehicle,1,2012,25
PALLISER,Theft FROM Vehicle,1,2012,9
NORTH GLENMORE PARK,Theft FROM Vehicle,1,2012,22
HAWKWOOD,Theft FROM Vehicle,1,2012,27
CHARLESWOOD,Theft FROM Vehicle,1,2012,32
SPRINGBANK HILL,Theft FROM Vehicle,1,2012,41
ABBEYDALE,Theft FROM Vehicle,1,2012,32
WEST HILLHURST,Theft FROM Vehicle,1,2012,22
CANYON MEADOWS,Theft FROM Vehicle,1,2012,45
ERIN WOODS,Theft FROM Vehicle,1,2012,39
SUNDANCE,Theft FROM Vehicle,1,2012,32
DOUGLASDALE/GLEN,Theft FROM Vehicle,1,2012,45
MONTEREY PARK,Theft FROM Vehicle,1,2012,38
CAPITOL HILL,Theft FROM Vehicle,1,2012,29
CHAPARRAL,Theft FROM Vehicle,1,2012,21
DALHOUSIE,Theft FROM Vehicle,1,2012,35
SIGNAL HILL,Theft FROM Vehicle,1,2012,55
TUSCANY,Theft FROM Vehicle,1,2012,69
MISSION,Theft FROM Vehicle,1,2012,25
NEW BRIGHTON,Theft FROM Vehicle,1,2012,18
HIGHLAND PARK,Theft FROM Vehicle,1,2012,31
MARTINDALE,Theft FROM Vehicle,1,2012,88
BANKVIEW,Theft FROM Vehicle,1,2012,51
CRESCENT HEIGHTS,Theft FROM Vehicle,1,2012,51
FOREST HEIGHTS,Theft FROM Vehicle,1,2012,35
MOUNT PLEASANT,Theft FROM Vehicle,1,2012,54
RANCHLANDS,Theft FROM Vehicle,1,2012,32
TUXEDO PARK,Theft FROM Vehicle,1,2012,38
MAYLAND HEIGHTS,Theft FROM Vehicle,1,2012,56
SOUTHWOOD,Theft FROM Vehicle,1,2012,50
BRIDGELAND/RIVERSIDE,Theft FROM Vehicle,1,2012,76
RENFREW,Theft FROM Vehicle,1,2012,46
MARLBOROUGH PARK,Theft FROM Vehicle,1,2012,57
WINSTON HEIGHTS/MOUNTVIEW,Theft FROM Vehicle,1,2012,41
HARVEST HILLS,Theft FROM Vehicle,1,2012,54
GLENBROOK,Theft FROM Vehicle,1,2012,32
RUNDLE,Theft FROM Vehicle,1,2012,40
BANFF TRAIL,Theft FROM Vehicle,1,2012,31
SCENIC ACRES,Theft FROM Vehicle,1,2012,56
ARBOUR LAKE,Theft FROM Vehicle,1,2012,65
EVERGREEN,Theft FROM Vehicle,1,2012,80
FOOTHILLS,Theft FROM Vehicle,1,2012,44
HIDDEN VALLEY,Theft FROM Vehicle,1,2012,85
FRANKLIN,Theft FROM Vehicle,1,2012,36
OGDEN,Theft FROM Vehicle,1,2012,51
SOUTH CALGARY,Theft FROM Vehicle,1,2012,46
WHITEHORN,Theft FROM Vehicle,1,2012,56
MANCHESTER INDUSTRIAL,Theft FROM Vehicle,1,2012,61
MCKENZIE LAKE,Theft FROM Vehicle,1,2012,70
WILLOW PARK,Theft FROM Vehicle,1,2012,67
PENBROOKE MEADOWS,Theft FROM Vehicle,1,2012,58
CRANSTON,Theft FROM Vehicle,1,2012,49
MCKENZIE TOWNE,Theft FROM Vehicle,1,2012,35
HILLHURST,Theft FROM Vehicle,1,2012,73
ALBERT PARK/RADISSON HEIGHTS,Theft FROM Vehicle,1,2012,97
MARLBOROUGH,Theft FROM Vehicle,1,2012,50
BRENTWOOD,Theft FROM Vehicle,1,2012,54
RICHMOND,Theft FROM Vehicle,1,2012,28
UNIVERSITY OF CALGARY,Theft FROM Vehicle,1,2012,56
TARADALE,Theft FROM Vehicle,1,2012,48
COVENTRY HILLS,Theft FROM Vehicle,1,2012,45
BEDDINGTON HEIGHTS,Theft FROM Vehicle,1,2012,74
KILLARNEY/GLENGARRY,Theft FROM Vehicle,1,2012,76
MONTGOMERY,Theft FROM Vehicle,1,2012,38
SUNRIDGE,Theft FROM Vehicle,1,2012,88
SHAWNESSY,Theft FROM Vehicle,1,2012,88
TEMPLE,Theft FROM Vehicle,1,2012,76
EDGEMONT,Theft FROM Vehicle,1,2012,49
VARSITY,Theft FROM Vehicle,1,2012,78
DOVER,Theft FROM Vehicle,1,2012,119
ACADIA,Theft FROM Vehicle,1,2012,98
BOWNESS,Theft FROM Vehicle,1,2012,83
PINERIDGE,Theft FROM Vehicle,1,2012,81
FOREST LAWN,Theft FROM Vehicle,1,2012,75
FALCONRIDGE,Theft FROM Vehicle,1,2012,102
THORNCLIFFE,Theft FROM Vehicle,1,2012,105
ALTADORE,Theft FROM Vehicle,1,2012,85
LAKE BONAVISTA,Theft FROM Vehicle,1,2012,57
HUNTINGTON HILLS,Theft FROM Vehicle,1,2012,101
BELTLINE,Theft FROM Vehicle,1,2012,256
DOWNTOWN COMMERCIAL CORE,Theft FROM Vehicle,1,2012,328
AURORA BUSINESS PARK,Theft OF Vehicle,1,2012,0
BEL-AIRE,Theft OF Vehicle,1,2012,0
CFB - CURRIE,Theft OF Vehicle,1,2012,2
CITYSCAPE,Theft OF Vehicle,1,2012,0
FISH CREEK PARK,Theft OF Vehicle,1,2012,1
GLENMORE PARK,Theft OF Vehicle,1,2012,0
LEGACY,Theft OF Vehicle,1,2012,0
NOSE HILL PARK,Theft OF Vehicle,1,2012,0
QUEENS PARK VILLAGE,Theft OF Vehicle,1,2012,0
RIDEAU PARK,Theft OF Vehicle,1,2012,1
ROYAL VISTA,Theft OF Vehicle,1,2012,0
SCARBORO,Theft OF Vehicle,1,2012,3
SCARBORO/ SUNALTA WEST,Theft OF Vehicle,1,2012,0
SETON,Theft OF Vehicle,1,2012,0
SHERWOOD,Theft OF Vehicle,1,2012,0
SKYLINE WEST,Theft OF Vehicle,1,2012,0
STONEGATE LANDING,Theft OF Vehicle,1,2012,0
STONEY 3,Theft OF Vehicle,1,2012,0
ASPEN WOODS,Theft OF Vehicle,1,2012,9
BAYVIEW,Theft OF Vehicle,1,2012,0
BRITANNIA,Theft OF Vehicle,1,2012,1
CANADA OLYMPIC PARK,Theft OF Vehicle,1,2012,3
CFB - LINCOLN PARK PMQ,Theft OF Vehicle,1,2012,0
CHINOOK PARK,Theft OF Vehicle,1,2012,1
CRESTMONT,Theft OF Vehicle,1,2012,2
EAGLE RIDGE,Theft OF Vehicle,1,2012,0
MAYFAIR,Theft OF Vehicle,1,2012,1
MAYLAND,Theft OF Vehicle,1,2012,3
NORTH HAVEN UPPER,Theft OF Vehicle,1,2012,1
PEGASUS,Theft OF Vehicle,1,2012,1
POINT MCKAY,Theft OF Vehicle,1,2012,1
ROSEDALE,Theft OF Vehicle,1,2012,3
RUTLAND PARK,Theft OF Vehicle,1,2012,7
STONEY 1,Theft OF Vehicle,1,2012,2
STONEY 2,Theft OF Vehicle,1,2012,3
STONEY 4,Theft OF Vehicle,1,2012,2
VALLEY RIDGE,Theft OF Vehicle,1,2012,4
CHINATOWN,Theft OF Vehicle,1,2012,3
CHRISTIE PARK,Theft OF Vehicle,1,2012,1
DISCOVERY RIDGE,Theft OF Vehicle,1,2012,0
DOWNTOWN EAST VILLAGE,Theft OF Vehicle,1,2012,4
EAU CLAIRE,Theft OF Vehicle,1,2012,7
GREAT PLAINS,Theft OF Vehicle,1,2012,1
NORTH HAVEN,Theft OF Vehicle,1,2012,2
OGDEN SHOPS,Theft OF Vehicle,1,2012,5
ROXBORO,Theft OF Vehicle,1,2012,1
SAGE HILL,Theft OF Vehicle,1,2012,5
SKYLINE EAST,Theft OF Vehicle,1,2012,3
SPRINGBANK HILL,Theft OF Vehicle,1,2012,4
STARFIELD,Theft OF Vehicle,1,2012,3
UPPER MOUNT ROYAL,Theft OF Vehicle,1,2012,2
WALDEN,Theft OF Vehicle,1,2012,1
WILDWOOD,Theft OF Vehicle,1,2012,2
BONAVISTA DOWNS,Theft OF Vehicle,1,2012,2
COUNTRY HILLS VILLAGE,Theft OF Vehicle,1,2012,5
ERLTON,Theft OF Vehicle,1,2012,7
PALLISER,Theft OF Vehicle,1,2012,1
PUMP HILL,Theft OF Vehicle,1,2012,3
REDSTONE,Theft OF Vehicle,1,2012,0
CAMBRIAN HEIGHTS,Theft OF Vehicle,1,2012,5
COACH HILL,Theft OF Vehicle,1,2012,2
GREENWOOD/GREENBRIAR,Theft OF Vehicle,1,2012,1
MAHOGANY,Theft OF Vehicle,1,2012,0
ROSEMONT,Theft OF Vehicle,1,2012,0
SHAGANAPPI,Theft OF Vehicle,1,2012,4
CEDARBRAE,Theft OF Vehicle,1,2012,8
CITADEL,Theft OF Vehicle,1,2012,7
COUGAR RIDGE,Theft OF Vehicle,1,2012,0
DIAMOND COVE,Theft OF Vehicle,1,2012,0
DOWNTOWN WEST END,Theft OF Vehicle,1,2012,4
ELBOYA,Theft OF Vehicle,1,2012,3
GLENDEER BUSINESS PARK,Theft OF Vehicle,1,2012,2
HAMPTONS,Theft OF Vehicle,1,2012,3
MACEWAN GLEN,Theft OF Vehicle,1,2012,5
OAKRIDGE,Theft OF Vehicle,1,2012,6
